IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.16.9.33,4,3,0.25,71.12,0.00
104.16.7.170,4,3,0.25,71.85,0.00
104.19.41.92,4,3,0.25,72.63,0.00
104.19.42.82,4,3,0.25,73.67,0.00
104.19.63.153,4,3,0.25,73.69,0.00
104.19.33.167,4,3,0.25,79.73,0.00
104.17.112.62,4,3,0.25,81.95,0.00
104.19.32.184,4,3,0.25,83.02,0.00
104.17.108.149,4,3,0.25,83.25,0.00
104.17.210.70,4,3,0.25,83.85,0.00
104.17.98.117,4,3,0.25,84.48,0.00
104.18.43.11,4,3,0.25,86.09,0.00
104.17.97.160,4,3,0.25,87.82,0.00
104.18.91.226,4,3,0.25,87.92,0.00
104.17.221.244,4,3,0.25,89.75,0.00
104.17.100.225,4,3,0.25,89.98,0.00
104.17.103.165,4,3,0.25,91.25,0.00
104.17.106.86,4,3,0.25,91.87,0.00
104.17.111.99,4,3,0.25,91.95,0.00
104.17.220.80,4,3,0.25,92.25,0.00
104.17.115.110,4,3,0.25,92.48,0.00
104.17.218.158,4,3,0.25,92.56,0.00
104.17.217.83,4,3,0.25,92.91,0.00
104.17.214.103,4,3,0.25,93.05,0.00
104.17.105.3,4,3,0.25,93.33,0.00
104.18.42.157,4,3,0.25,93.89,0.00
104.17.219.233,4,3,0.25,94.31,0.00
104.17.211.187,4,3,0.25,94.46,0.00
104.18.39.201,4,3,0.25,97.30,0.00
104.17.99.23,4,3,0.25,97.38,0.00
104.17.101.224,4,3,0.25,98.37,0.00
104.16.150.51,4,3,0.25,99.16,0.00
104.17.123.115,4,3,0.25,102.44,0.00
104.17.104.150,4,3,0.25,102.68,0.00
104.18.35.13,4,3,0.25,102.97,0.00
104.17.167.127,4,3,0.25,103.84,0.00
198.41.209.92,4,3,0.25,104.53,0.00
104.17.183.122,4,3,0.25,104.73,0.00
104.17.107.232,4,3,0.25,105.22,0.00
104.18.88.100,4,3,0.25,105.40,0.00
104.17.124.252,4,3,0.25,106.52,0.00
104.18.80.221,4,3,0.25,106.95,0.00
104.18.95.114,4,3,0.25,107.17,0.00
104.18.46.113,4,3,0.25,107.86,0.00
104.17.122.204,4,3,0.25,108.13,0.00
104.17.109.155,4,3,0.25,108.35,0.00
104.17.118.89,4,3,0.25,110.53,0.00
104.17.96.138,4,3,0.25,111.46,0.00
104.18.188.6,4,3,0.25,111.67,0.00
104.16.0.93,4,3,0.25,111.84,0.00
104.18.40.45,4,3,0.25,112.45,0.00
104.19.54.38,4,3,0.25,112.85,0.00
104.17.191.14,4,3,0.25,113.95,0.00
104.17.171.177,4,3,0.25,114.59,0.00
104.16.5.7,4,3,0.25,115.02,0.00
104.17.114.17,4,3,0.25,115.52,0.00
104.17.102.110,4,3,0.25,116.21,0.00
104.16.13.63,4,3,0.25,116.83,0.00
104.16.6.18,4,3,0.25,117.17,0.00
104.18.33.23,4,3,0.25,117.51,0.00
104.16.12.99,4,3,0.25,118.62,0.00
104.17.148.205,4,3,0.25,119.83,0.00
104.17.186.32,4,3,0.25,122.49,0.00
104.17.189.162,4,3,0.25,123.28,0.00
104.17.169.86,4,3,0.25,123.96,0.00
104.17.127.17,4,3,0.25,126.79,0.00
104.18.236.40,4,3,0.25,131.59,0.00
104.17.17.202,4,3,0.25,136.14,0.00
104.16.246.5,4,3,0.25,137.54,0.00
104.18.157.172,4,3,0.25,137.90,0.00
104.18.151.134,4,3,0.25,140.53,0.00
104.19.48.39,4,3,0.25,140.91,0.00
104.17.204.204,4,3,0.25,147.75,0.00
104.17.49.35,4,3,0.25,149.87,0.00
104.16.252.168,4,3,0.25,151.13,0.00
104.16.32.3,4,3,0.25,154.45,0.00
104.16.63.99,4,3,0.25,154.78,0.00
104.17.58.94,4,3,0.25,154.81,0.00
104.19.145.56,4,3,0.25,155.20,0.00
104.21.237.201,4,3,0.25,155.61,0.00
104.21.236.204,4,3,0.25,155.66,0.00
104.16.203.164,4,3,0.25,155.77,0.00
104.21.231.121,4,3,0.25,156.52,0.00
104.16.59.150,4,3,0.25,156.72,0.00
104.21.238.51,4,3,0.25,156.95,0.00
104.21.226.196,4,3,0.25,157.27,0.00
104.19.174.186,4,3,0.25,157.78,0.00
104.16.62.57,4,3,0.25,158.00,0.00
104.16.2.28,4,3,0.25,158.00,0.00
172.65.36.58,4,3,0.25,158.40,0.00
104.21.232.41,4,3,0.25,158.52,0.00
104.16.58.43,4,3,0.25,158.86,0.00
104.16.60.163,4,3,0.25,158.91,0.00
104.21.234.21,4,3,0.25,159.16,0.00
104.21.239.231,4,3,0.25,159.26,0.00
104.16.45.209,4,3,0.25,159.74,0.00
104.21.229.67,4,3,0.25,159.96,0.00
104.22.57.147,4,3,0.25,160.26,0.00
104.17.233.88,4,3,0.25,160.72,0.00
104.21.21.82,4,3,0.25,161.24,0.00
104.19.149.31,4,3,0.25,161.37,0.00
104.16.61.41,4,3,0.25,161.93,0.00
104.22.58.174,4,3,0.25,162.34,0.00
104.21.19.250,4,3,0.25,162.73,0.00
104.22.61.225,4,3,0.25,162.89,0.00
104.21.224.222,4,3,0.25,163.76,0.00
104.22.63.149,4,3,0.25,164.06,0.00
104.17.230.158,4,3,0.25,164.71,0.00
104.17.161.247,4,3,0.25,165.06,0.00
104.22.51.100,4,3,0.25,165.83,0.00
104.21.30.125,4,3,0.25,166.36,0.00
104.22.62.219,4,3,0.25,166.53,0.00
104.22.54.69,4,3,0.25,166.95,0.00
104.16.51.4,4,3,0.25,167.21,0.00
104.19.147.137,4,3,0.25,167.53,0.00
104.18.27.233,4,3,0.25,169.08,0.00
104.22.49.0,4,3,0.25,169.24,0.00
104.18.26.165,4,3,0.25,169.57,0.00
104.22.48.109,4,3,0.25,169.77,0.00
104.18.211.7,4,3,0.25,170.13,0.00
104.21.20.231,4,3,0.25,170.33,0.00
104.17.83.150,4,3,0.25,170.78,0.00
104.22.6.214,4,3,0.25,170.89,0.00
104.18.204.193,4,3,0.25,171.88,0.00
104.16.91.140,4,3,0.25,172.15,0.00
104.17.93.219,4,3,0.25,172.16,0.00
104.16.78.48,4,3,0.25,172.17,0.00
104.16.87.184,4,3,0.25,172.32,0.00
104.18.192.177,4,3,0.25,172.49,0.00
104.18.30.106,4,3,0.25,172.54,0.00
104.20.3.80,4,3,0.25,172.67,0.00
104.17.81.100,4,3,0.25,172.87,0.00
104.18.25.173,4,3,0.25,172.95,0.00
104.16.92.99,4,3,0.25,173.02,0.00
